,0,1,2,3,4,5,6
0,"(6, 'va', 'Tau')",,,,,,
1,"(1, 'po', 'va')","(0, 'va', 'Tau')",,,,,
2,"(5, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,,
3,"(1, 'po', 'Tau')",,,,,,
4,"(6, 'sib', 'Tau')",,,,,,
5,"(1, 'po', 'pp')","(6, 'pp', 'po')","(2, 'po', 'pp')","(1, 'pp', 'Tau')",,,
6,"(1, 'pp', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
7,"(4, 'po', 'po')","(1, 'po', 'pp')","(2, 'pp', 'va')","(1, 'va', 'Tau')",,,
8,"(1, 'va', 'Tau')",,,,,,
9,"(6, 'pp', 'pp')","(6, 'pp', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
10,"(1, 'pp', 'Tau')",,,,,,
11,"(1, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
12,"(1, 'pp', 'pp')","(0, 'pp', 'pp')","(6, 'pp', 'po')","(1, 'po', 'Tau')",,,
13,"(1, 'va', 'Tau')",,,,,,
14,"(4, 'po', 'Tau')",,,,,,
15,"(5, 'pp', 'Tau')",,,,,,
16,"(1, 'sib', 'Tau')",,,,,,
17,"(6, 'pp', 'Tau')",,,,,,
18,"(1, 'pp', 'Tau')",,,,,,
19,"(1, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
20,"(1, 'va', 'Tau')",,,,,,
21,"(0, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
22,"(1, 'sib', 'po')","(1, 'po', 'Tau')",,,,,
23,"(1, 'va', 'Tau')",,,,,,
24,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
25,"(2, 'pp', 'pp')","(1, 'pp', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
26,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
27,"(1, 'pp', 'Tau')",,,,,,
28,"(1, 'va', 'Tau')",,,,,,
29,"(1, 'sib', 'Tau')",,,,,,
30,"(1, 'po', 'Tau')",,,,,,
31,"(1, 'po', 'Tau')",,,,,,
32,"(1, 'va', 'Tau')",,,,,,
33,"(1, 'po', 'Tau')",,,,,,
34,"(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
35,"(1, 'po', 'po')","(1, 'po', 'po')","(5, 'po', 'Tau')",,,,
36,"(1, 'pp', 'Tau')",,,,,,
37,"(1, 'va', 'Tau')",,,,,,
38,"(1, 'va', 'Tau')",,,,,,
39,"(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
40,"(1, 'va', 'Tau')",,,,,,
41,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
42,"(1, 'sib', 'Tau')",,,,,,
43,"(1, 'sib', 'Tau')",,,,,,
44,"(1, 'va', 'Tau')",,,,,,
45,"(1, 'pp', 'Tau')",,,,,,
46,"(1, 'po', 'Tau')",,,,,,
47,"(1, 'sib', 'Tau')",,,,,,
48,"(1, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
49,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
50,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
51,"(1, 'sib', 'Tau')",,,,,,
52,"(1, 'sib', 'sib')","(4, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
53,"(1, 'sib', 'sib')","(1, 'sib', 'va')","(1, 'va', 'Tau')",,,,
54,"(1, 'pp', 'Tau')",,,,,,
55,"(1, 'sib', 'Tau')",,,,,,
56,"(1, 'pp', 'Tau')",,,,,,
57,"(1, 'va', 'Tau')",,,,,,
58,"(1, 'sib', 'Tau')",,,,,,
59,"(1, 'pp', 'Tau')",,,,,,
60,"(1, 'va', 'Tau')",,,,,,
61,"(1, 'po', 'va')","(1, 'va', 'Tau')",,,,,
62,"(4, 'sib', 'Tau')",,,,,,
63,"(1, 'pp', 'Tau')",,,,,,
64,"(1, 'pp', 'pp')","(1, 'pp', 'po')","(1, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",
65,"(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
66,"(1, 'va', 'Tau')",,,,,,
67,"(1, 'sib', 'sib')","(1, 'sib', 'po')","(1, 'po', 'Tau')",,,,
68,"(1, 'po', 'Tau')",,,,,,
69,"(1, 'po', 'Tau')",,,,,,
