,0,1,2,3,4,5,6
0,"(2, 'pp', 'Tau')",,,,,,
1,"(2, 'po', 'pp')","(2, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,
2,"(5, 'po', 'pp')","(0, 'pp', 'Tau')",,,,,
3,"(2, 'pp', 'Tau')",,,,,,
4,"(2, 'sib', 'Tau')",,,,,,
5,"(3, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,,
6,"(2, 'po', 'po')","(2, 'po', 'po')","(2, 'po', 'Tau')",,,,
7,"(2, 'po', 'Tau')",,,,,,
8,"(2, 'va', 'Tau')",,,,,,
9,"(2, 'va', 'Tau')",,,,,,
10,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
11,"(0, 'va', 'Tau')",,,,,,
12,"(2, 'sib', 'Tau')",,,,,,
13,"(2, 'po', 'Tau')",,,,,,
14,"(2, 'po', 'po')","(2, 'po', 'Tau')",,,,,
15,"(6, 'po', 'Tau')",,,,,,
16,"(2, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
17,"(6, 'po', 'va')","(2, 'va', 'pp')","(5, 'pp', 'pp')","(2, 'pp', 'Tau')",,,
18,"(2, 'pp', 'va')","(2, 'va', 'Tau')",,,,,
19,"(2, 'po', 'pp')","(2, 'pp', 'po')","(3, 'po', 'Tau')",,,,
20,"(2, 'sib', 'Tau')",,,,,,
21,"(2, 'va', 'Tau')",,,,,,
22,"(2, 'po', 'Tau')",,,,,,
23,"(2, 'sib', 'pp')","(2, 'pp', 'pp')","(2, 'pp', 'va')","(2, 'va', 'Tau')",,,
24,"(1, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'va')","(2, 'va', 'pp')","(2, 'pp', 'Tau')",,
25,"(6, 'sib', 'pp')","(5, 'pp', 'va')","(3, 'va', 'Tau')",,,,
26,"(2, 'va', 'Tau')",,,,,,
27,"(2, 'pp', 'Tau')",,,,,,
28,"(2, 'pp', 'Tau')",,,,,,
