,0,1,2,3,4,5,6
0,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,
1,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,
2,"(1, 'pp', 'Tau')",,,,,,
3,"(1, 'pp', 'Tau')",,,,,,
4,"(2, 'sib', 'Tau')",,,,,,
5,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
6,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
7,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
8,"(1, 'pp', 'Tau')",,,,,,
9,"(1, 'po', 'Tau')",,,,,,
10,"(1, 'va', 'Tau')",,,,,,
11,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
12,"(1, 'po', 'Tau')",,,,,,
13,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
14,"(1, 'pp', 'Tau')",,,,,,
15,"(1, 'po', 'Tau')",,,,,,
16,"(1, 'po', 'sib')","(2, 'sib', 'Tau')",,,,,
17,"(1, 'po', 'Tau')",,,,,,
18,"(2, 'sib', 'Tau')",,,,,,
19,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,,
20,"(1, 'pp', 'Tau')",,,,,,
21,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
22,"(2, 'sib', 'Tau')",,,,,,
23,"(2, 'sib', 'Tau')",,,,,,
24,"(2, 'sib', 'Tau')",,,,,,
25,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,
26,"(1, 'pp', 'Tau')",,,,,,
27,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'pp')","(1, 'pp', 'Tau')",,,
28,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
29,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
30,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')"
31,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
32,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
33,"(1, 'va', 'po')","(1, 'po', 'va')","(1, 'va', 'Tau')",,,,
34,"(2, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
