,0,1,2,3,4,5,6
0,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
1,"(1, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
2,"(4, 'sib', 'Tau')",,,,,,
3,"(1, 'pp', 'Tau')",,,,,,
4,"(4, 'po', 'pp')","(0, 'pp', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
5,"(6, 'va', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
6,"(4, 'va', 'va')","(2, 'va', 'pp')","(3, 'pp', 'Tau')",,,,
7,"(5, 'sib', 'Tau')",,,,,,
8,"(1, 'sib', 'Tau')",,,,,,
9,"(0, 'sib', 'Tau')",,,,,,
10,"(3, 'sib', 'sib')","(1, 'sib', 'sib')","(4, 'sib', 'va')","(2, 'va', 'po')","(1, 'po', 'Tau')",,
11,"(2, 'po', 'Tau')",,,,,,
12,"(6, 'pp', 'Tau')",,,,,,
13,"(5, 'po', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
14,"(3, 'va', 'va')","(3, 'va', 'pp')","(1, 'pp', 'Tau')",,,,
15,"(3, 'sib', 'Tau')",,,,,,
16,"(3, 'sib', 'pp')","(6, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
17,"(6, 'po', 'pp')","(5, 'pp', 'pp')","(4, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
18,"(3, 'va', 'Tau')",,,,,,
19,"(5, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
20,"(4, 'pp', 'pp')","(5, 'pp', 'sib')","(1, 'sib', 'va')","(2, 'va', 'Tau')",,,
21,"(4, 'sib', 'Tau')",,,,,,
22,"(4, 'pp', 'va')","(4, 'va', 'Tau')",,,,,
23,"(2, 'pp', 'Tau')",,,,,,
24,"(4, 'sib', 'pp')","(5, 'pp', 'Tau')",,,,,
25,"(5, 'po', 'Tau')",,,,,,
26,"(1, 'va', 'po')","(0, 'po', 'va')","(3, 'va', 'Tau')",,,,
27,"(6, 'sib', 'Tau')",,,,,,
28,"(5, 'pp', 'Tau')",,,,,,
29,"(0, 'pp', 'va')","(4, 'va', 'po')","(4, 'po', 'pp')","(5, 'pp', 'pp')","(2, 'pp', 'Tau')",,
30,"(0, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
31,"(6, 'sib', 'Tau')",,,,,,
32,"(0, 'pp', 'Tau')",,,,,,
33,"(1, 'sib', 'pp')","(5, 'pp', 'Tau')",,,,,
34,"(1, 'po', 'po')","(6, 'po', 'va')","(3, 'va', 'Tau')",,,,
35,"(1, 'va', 'Tau')",,,,,,
36,"(5, 'va', 'Tau')",,,,,,
37,"(4, 'sib', 'Tau')",,,,,,
38,"(3, 'va', 'Tau')",,,,,,
39,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
40,"(1, 'sib', 'sib')","(0, 'sib', 'Tau')",,,,,
41,"(1, 'va', 'Tau')",,,,,,
42,"(5, 'pp', 'Tau')",,,,,,
43,"(1, 'po', 'pp')","(6, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,
44,"(3, 'va', 'Tau')",,,,,,
45,"(0, 'po', 'Tau')",,,,,,
46,"(0, 'po', 'Tau')",,,,,,
47,"(4, 'va', 'va')","(5, 'va', 'pp')","(5, 'pp', 'Tau')",,,,
48,"(1, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
49,"(0, 'po', 'Tau')",,,,,,
50,"(5, 'sib', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
51,"(4, 'pp', 'Tau')",,,,,,
52,"(2, 'va', 'Tau')",,,,,,
53,"(4, 'sib', 'va')","(6, 'va', 'Tau')",,,,,
54,"(1, 'va', 'pp')","(0, 'pp', 'po')","(1, 'po', 'Tau')",,,,
55,"(5, 'sib', 'Tau')",,,,,,
56,"(6, 'va', 'va')","(2, 'va', 'Tau')",,,,,
57,"(1, 'pp', 'Tau')",,,,,,
58,"(3, 'pp', 'va')","(3, 'va', 'Tau')",,,,,
59,"(5, 'pp', 'Tau')",,,,,,
60,"(1, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
61,"(0, 'po', 'pp')","(6, 'pp', 'va')","(3, 'va', 'va')","(6, 'va', 'pp')","(0, 'pp', 'pp')","(2, 'pp', 'Tau')",
62,"(0, 'va', 'va')","(2, 'va', 'Tau')",,,,,
63,"(0, 'po', 'Tau')",,,,,,
64,"(6, 'sib', 'pp')","(4, 'pp', 'va')","(3, 'va', 'Tau')",,,,
65,"(4, 'va', 'Tau')",,,,,,
66,"(3, 'po', 'pp')","(2, 'pp', 'Tau')",,,,,
67,"(2, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
68,"(4, 'po', 'sib')","(1, 'sib', 'Tau')",,,,,
69,"(2, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
70,"(2, 'va', 'Tau')",,,,,,
71,"(2, 'po', 'Tau')",,,,,,
72,"(6, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
73,"(3, 'po', 'sib')","(2, 'sib', 'Tau')",,,,,
74,"(5, 'po', 'Tau')",,,,,,
75,"(6, 'po', 'va')","(0, 'va', 'Tau')",,,,,
76,"(6, 'pp', 'Tau')",,,,,,
77,"(5, 'pp', 'pp')","(6, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
78,"(2, 'pp', 'Tau')",,,,,,
79,"(3, 'pp', 'pp')","(5, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
80,"(1, 'po', 'Tau')",,,,,,
81,"(0, 'po', 'Tau')",,,,,,
82,"(1, 'pp', 'Tau')",,,,,,
83,"(3, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
84,"(4, 'sib', 'Tau')",,,,,,
85,"(5, 'sib', 'Tau')",,,,,,
86,"(2, 'va', 'Tau')",,,,,,
87,"(5, 'po', 'pp')","(6, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
88,"(3, 'sib', 'Tau')",,,,,,
89,"(3, 'pp', 'pp')","(2, 'pp', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",
90,"(6, 'sib', 'Tau')",,,,,,
91,"(3, 'sib', 'Tau')",,,,,,
92,"(1, 'po', 'pp')","(3, 'pp', 'sib')","(2, 'sib', 'Tau')",,,,
93,"(0, 'pp', 'Tau')",,,,,,
94,"(4, 'po', 'va')","(5, 'va', 'Tau')",,,,,
