,0,1,2,3,4,5,6
0,"(0, 'po', 'va')","(2, 'va', 'Tau')",,,,,
1,"(2, 'va', 'pp')","(6, 'pp', 'va')","(3, 'va', 'va')","(5, 'va', 'po')","(5, 'po', 'sib')","(5, 'sib', 'sib')","(1, 'sib', 'va')"
2,"(3, 'pp', 'pp')","(4, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,
3,"(3, 'sib', 'Tau')",,,,,,
4,"(6, 'po', 'Tau')",,,,,,
5,"(2, 'pp', 'Tau')",,,,,,
6,"(4, 'va', 'Tau')",,,,,,
7,"(3, 'sib', 'sib')","(6, 'sib', 'pp')","(2, 'pp', 'Tau')",,,,
8,"(0, 'va', 'Tau')",,,,,,
9,"(6, 'va', 'po')","(3, 'po', 'pp')","(2, 'pp', 'Tau')",,,,
10,"(3, 'po', 'Tau')",,,,,,
11,"(2, 'pp', 'Tau')",,,,,,
12,"(4, 'va', 'Tau')",,,,,,
13,"(1, 'va', 'Tau')",,,,,,
14,"(2, 'pp', 'pp')","(0, 'pp', 'sib')","(2, 'sib', 'sib')","(1, 'sib', 'sib')","(4, 'sib', 'Tau')",,
15,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
16,"(0, 'sib', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,,
17,"(1, 'po', 'Tau')",,,,,,
18,"(1, 'pp', 'Tau')",,,,,,
19,"(1, 'va', 'Tau')",,,,,,
20,"(4, 'va', 'va')","(1, 'va', 'Tau')",,,,,
21,"(1, 'po', 'Tau')",,,,,,
22,"(1, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,,
23,"(1, 'va', 'Tau')",,,,,,
24,"(1, 'va', 'Tau')",,,,,,
25,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,,
26,"(1, 'va', 'Tau')",,,,,,
27,"(1, 'va', 'pp')","(2, 'pp', 'Tau')",,,,,
28,"(4, 'sib', 'Tau')",,,,,,
29,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
30,"(1, 'po', 'pp')","(2, 'pp', 'po')","(2, 'po', 'pp')","(2, 'pp', 'va')","(1, 'va', 'pp')","(2, 'pp', 'va')","(0, 'va', 'Tau')"
31,"(4, 'sib', 'Tau')",,,,,,
32,"(4, 'sib', 'pp')","(6, 'pp', 'pp')","(2, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'va')","(4, 'va', 'Tau')",
33,"(0, 'sib', 'pp')","(1, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
34,"(4, 'va', 'pp')","(0, 'pp', 'Tau')",,,,,
35,"(4, 'po', 'Tau')",,,,,,
36,"(4, 'po', 'Tau')",,,,,,
37,"(4, 'po', 'Tau')",,,,,,
38,"(5, 'va', 'Tau')",,,,,,
39,"(0, 'pp', 'Tau')",,,,,,
40,"(0, 'pp', 'Tau')",,,,,,
41,"(0, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
42,"(4, 'po', 'Tau')",,,,,,
43,"(3, 'va', 'po')","(4, 'po', 'Tau')",,,,,
44,"(4, 'po', 'Tau')",,,,,,
45,"(1, 'po', 'pp')","(3, 'pp', 'Tau')",,,,,
46,"(4, 'po', 'Tau')",,,,,,
47,"(2, 'pp', 'va')","(0, 'va', 'Tau')",,,,,
48,"(2, 'sib', 'Tau')",,,,,,
49,"(2, 'pp', 'va')","(0, 'va', 'Tau')",,,,,
50,"(2, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
51,"(3, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
52,"(2, 'sib', 'Tau')",,,,,,
53,"(4, 'pp', 'va')","(0, 'va', 'Tau')",,,,,
54,"(4, 'pp', 'pp')","(2, 'pp', 'va')","(0, 'va', 'Tau')",,,,
55,"(4, 'po', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'pp')","(5, 'pp', 'Tau')",,,
56,"(2, 'sib', 'Tau')",,,,,,
57,"(0, 'va', 'va')","(0, 'va', 'pp')","(5, 'pp', 'sib')","(2, 'sib', 'Tau')",,,
58,"(2, 'sib', 'Tau')",,,,,,
59,"(2, 'sib', 'po')","(0, 'po', 'po')","(6, 'po', 'pp')","(4, 'pp', 'Tau')",,,
60,"(4, 'pp', 'Tau')",,,,,,
61,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,,
62,"(0, 'pp', 'Tau')",,,,,,
63,"(0, 'pp', 'Tau')",,,,,,
64,"(2, 'sib', 'sib')","(2, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,
65,"(1, 'po', 'pp')","(0, 'pp', 'Tau')",,,,,
66,"(1, 'va', 'va')","(3, 'va', 'Tau')",,,,,
67,"(1, 'va', 'Tau')",,,,,,
68,"(0, 'pp', 'Tau')",,,,,,
69,"(1, 'sib', 'Tau')",,,,,,
70,"(0, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
71,"(1, 'sib', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'pp')","(6, 'pp', 'Tau')",,,
72,"(0, 'po', 'Tau')",,,,,,
73,"(3, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
