,0,1,2,3,4,5,6
0,"(0, 'po', 'va')","(1, 'va', 'pp')","(2, 'pp', 'sib')","(3, 'sib', 'Tau')",,,
1,"(4, 'va', 'va')","(0, 'va', 'pp')","(3, 'pp', 'Tau')",,,,
2,"(5, 'sib', 'Tau')",,,,,,
3,"(1, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,,
4,"(3, 'po', 'Tau')",,,,,,
5,"(1, 'sib', 'Tau')",,,,,,
6,"(3, 'va', 'Tau')",,,,,,
7,"(6, 'pp', 'Tau')",,,,,,
8,"(1, 'sib', 'Tau')",,,,,,
9,"(5, 'sib', 'Tau')",,,,,,
10,"(5, 'po', 'va')","(6, 'va', 'Tau')",,,,,
11,"(6, 'va', 'va')","(1, 'va', 'va')","(3, 'va', 'sib')","(5, 'sib', 'Tau')",,,
12,"(0, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
13,"(0, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
14,"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
15,"(1, 'po', 'Tau')",,,,,,
16,"(5, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
17,"(6, 'pp', 'Tau')",,,,,,
18,"(1, 'va', 'sib')","(0, 'sib', 'Tau')",,,,,
19,"(1, 'sib', 'Tau')",,,,,,
20,"(1, 'sib', 'Tau')",,,,,,
21,"(6, 'va', 'Tau')",,,,,,
22,"(3, 'po', 'po')","(6, 'po', 'pp')","(6, 'pp', 'va')","(6, 'va', 'pp')","(0, 'pp', 'Tau')",,
23,"(2, 'pp', 'pp')","(4, 'pp', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'sib')","(2, 'sib', 'Tau')",,
24,"(0, 'pp', 'Tau')",,,,,,
25,"(5, 'sib', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",,,
26,"(6, 'sib', 'pp')","(5, 'pp', 'pp')","(6, 'pp', 'va')","(5, 'va', 'va')","(0, 'va', 'Tau')",,
27,"(3, 'po', 'po')","(0, 'po', 'Tau')",,,,,
28,"(4, 'pp', 'Tau')",,,,,,
29,"(6, 'va', 'Tau')",,,,,,
30,"(5, 'pp', 'va')","(5, 'va', 'va')","(6, 'va', 'Tau')",,,,
31,"(0, 'va', 'po')","(2, 'po', 'va')","(3, 'va', 'Tau')",,,,
32,"(4, 'sib', 'pp')","(6, 'pp', 'po')","(3, 'po', 'Tau')",,,,
33,"(2, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
34,"(3, 'pp', 'sib')","(2, 'sib', 'sib')","(3, 'sib', 'sib')","(6, 'sib', 'Tau')",,,
35,"(0, 'sib', 'Tau')",,,,,,
36,"(1, 'sib', 'va')","(3, 'va', 'Tau')",,,,,
37,"(5, 'va', 'po')","(4, 'po', 'va')","(5, 'va', 'Tau')",,,,
38,"(4, 'po', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
39,"(6, 'pp', 'Tau')",,,,,,
40,"(1, 'va', 'va')","(2, 'va', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'Tau')",,,
41,"(5, 'sib', 'sib')","(0, 'sib', 'va')","(3, 'va', 'pp')","(1, 'pp', 'Tau')",,,
42,"(3, 'pp', 'Tau')",,,,,,
43,"(1, 'pp', 'pp')","(0, 'pp', 'pp')","(6, 'pp', 'pp')","(5, 'pp', 'va')","(4, 'va', 'Tau')",,
44,"(5, 'po', 'po')","(1, 'po', 'Tau')",,,,,
45,"(2, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
46,"(2, 'sib', 'pp')","(6, 'pp', 'Tau')",,,,,
47,"(1, 'sib', 'Tau')",,,,,,
48,"(2, 'po', 'po')","(3, 'po', 'pp')","(0, 'pp', 'Tau')",,,,
49,"(6, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
50,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
51,"(5, 'va', 'Tau')",,,,,,
52,"(2, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
53,"(4, 'va', 'pp')","(6, 'pp', 'va')","(0, 'va', 'va')","(0, 'va', 'Tau')",,,
54,"(0, 'po', 'va')","(5, 'va', 'Tau')",,,,,
55,"(3, 'po', 'po')","(6, 'po', 'Tau')",,,,,
56,"(1, 'sib', 'sib')","(6, 'sib', 'po')","(4, 'po', 'va')","(4, 'va', 'Tau')",,,
57,"(0, 'po', 'Tau')",,,,,,
58,"(5, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
59,"(6, 'sib', 'Tau')",,,,,,
60,"(2, 'sib', 'Tau')",,,,,,
61,"(4, 'po', 'Tau')",,,,,,
62,"(1, 'va', 'va')","(0, 'va', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'pp')","(6, 'pp', 'Tau')",,
63,"(4, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,,
64,"(0, 'sib', 'pp')","(6, 'pp', 'va')","(0, 'va', 'Tau')",,,,
65,"(3, 'sib', 'Tau')",,,,,,
66,"(0, 'po', 'Tau')",,,,,,
67,"(5, 'sib', 'Tau')",,,,,,
68,"(0, 'sib', 'va')","(3, 'va', 'va')","(1, 'va', 'Tau')",,,,
69,"(6, 'va', 'sib')","(6, 'sib', 'Tau')",,,,,
70,"(0, 'sib', 'pp')","(6, 'pp', 'Tau')",,,,,
71,"(2, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
72,"(5, 'sib', 'Tau')",,,,,,
73,"(0, 'pp', 'Tau')",,,,,,
74,"(3, 'sib', 'Tau')",,,,,,
75,"(6, 'va', 'pp')","(1, 'pp', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",,
76,"(2, 'pp', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,
77,"(0, 'po', 'Tau')",,,,,,
78,"(5, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
79,"(0, 'va', 'va')","(1, 'va', 'va')","(4, 'va', 'Tau')",,,,
80,"(2, 'po', 'Tau')",,,,,,
81,"(1, 'po', 'po')","(3, 'po', 'Tau')",,,,,
82,"(0, 'sib', 'Tau')",,,,,,
83,"(5, 'va', 'Tau')",,,,,,
84,"(2, 'sib', 'Tau')",,,,,,
85,"(1, 'po', 'Tau')",,,,,,
86,"(3, 'po', 'Tau')",,,,,,
87,"(0, 'pp', 'pp')","(1, 'pp', 'pp')","(4, 'pp', 'pp')","(3, 'pp', 'pp')","(6, 'pp', 'pp')","(2, 'pp', 'Tau')",
88,"(2, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
89,"(2, 'va', 'Tau')",,,,,,
90,"(3, 'po', 'Tau')",,,,,,
91,"(5, 'pp', 'pp')","(3, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,
92,"(0, 'va', 'Tau')",,,,,,
93,"(4, 'pp', 'Tau')",,,,,,
94,"(4, 'sib', 'Tau')",,,,,,
95,"(2, 'pp', 'pp')","(0, 'pp', 'po')","(1, 'po', 'Tau')",,,,
96,"(2, 'po', 'Tau')",,,,,,
97,"(0, 'po', 'va')","(5, 'va', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'pp')","(5, 'pp', 'Tau')",,
98,"(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
99,"(3, 'po', 'Tau')",,,,,,
100,"(0, 'va', 'va')","(0, 'va', 'va')","(6, 'va', 'pp')","(4, 'pp', 'Tau')",,,
101,"(5, 'sib', 'Tau')",,,,,,
102,"(5, 'pp', 'va')","(0, 'va', 'Tau')",,,,,
103,"(4, 'pp', 'Tau')",,,,,,
104,"(1, 'po', 'Tau')",,,,,,
105,"(4, 'po', 'Tau')",,,,,,
106,"(0, 'pp', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
