,0,1,2,3,4,5,6
0,"(6, 'sib', 'pp')","(0, 'pp', 'Tau')",,,,,
1,"(0, 'pp', 'Tau')",,,,,,
2,"(0, 'va', 'Tau')",,,,,,
3,"(0, 'pp', 'pp')","(5, 'pp', 'pp')","(0, 'pp', 'pp')","(0, 'pp', 'sib')","(6, 'sib', 'Tau')",,
4,"(6, 'sib', 'Tau')",,,,,,
5,"(6, 'va', 'pp')","(6, 'pp', 'va')","(6, 'va', 'Tau')",,,,
6,"(6, 'po', 'va')","(6, 'va', 'pp')","(4, 'pp', 'Tau')",,,,
7,"(4, 'pp', 'Tau')",,,,,,
8,"(4, 'va', 'Tau')",,,,,,
9,"(4, 'va', 'Tau')",,,,,,
10,"(4, 'va', 'Tau')",,,,,,
11,"(5, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
12,"(4, 'sib', 'Tau')",,,,,,
13,"(4, 'va', 'Tau')",,,,,,
14,"(4, 'pp', 'Tau')",,,,,,
15,"(4, 'po', 'po')","(4, 'po', 'pp')","(3, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
16,"(4, 'sib', 'Tau')",,,,,,
17,"(4, 'pp', 'pp')","(4, 'pp', 'va')","(4, 'va', 'Tau')",,,,
18,"(4, 'sib', 'Tau')",,,,,,
19,"(4, 'sib', 'Tau')",,,,,,
20,"(0, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
21,"(4, 'pp', 'va')","(4, 'va', 'Tau')",,,,,
22,"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,,
23,"(4, 'va', 'va')","(4, 'va', 'Tau')",,,,,
24,"(4, 'pp', 'Tau')",,,,,,
25,"(4, 'sib', 'sib')","(4, 'sib', 'po')","(4, 'po', 'Tau')",,,,
26,"(4, 'sib', 'po')","(4, 'po', 'Tau')",,,,,
27,"(4, 'va', 'po')","(4, 'po', 'Tau')",,,,,
28,"(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'Tau')",,,
29,"(4, 'sib', 'Tau')",,,,,,
