,0,1,2,3,4,5,6
0,"(4, 'po', 'Tau')",,,,,,
1,"(6, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
2,"(3, 'va', 'Tau')",,,,,,
3,"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
4,"(5, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
5,"(4, 'sib', 'sib')","(4, 'sib', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'sib')","(4, 'sib', 'va')","(3, 'va', 'va')","(3, 'va', 'va')"
6,"(3, 'pp', 'po')","(4, 'po', 'Tau')",,,,,
7,"(3, 'va', 'Tau')",,,,,,
8,"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
9,"(2, 'po', 'Tau')",,,,,,
10,"(4, 'sib', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
11,"(4, 'sib', 'Tau')",,,,,,
12,"(3, 'va', 'Tau')",,,,,,
13,"(1, 'po', 'po')","(4, 'po', 'Tau')",,,,,
14,"(4, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
15,"(4, 'sib', 'Tau')",,,,,,
16,"(3, 'pp', 'Tau')",,,,,,
17,"(3, 'pp', 'Tau')",,,,,,
18,"(4, 'sib', 'po')","(4, 'po', 'Tau')",,,,,
19,"(3, 'pp', 'Tau')",,,,,,
20,"(4, 'sib', 'Tau')",,,,,,
21,"(4, 'po', 'Tau')",,,,,,
22,"(4, 'po', 'Tau')",,,,,,
23,"(3, 'pp', 'Tau')",,,,,,
24,"(4, 'po', 'Tau')",,,,,,
25,"(4, 'sib', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
26,"(3, 'pp', 'Tau')",,,,,,
27,"(4, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
28,"(4, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
29,"(3, 'pp', 'va')","(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,,
30,"(4, 'sib', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
31,"(4, 'sib', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'va')","(3, 'va', 'Tau')",,,
32,"(4, 'po', 'pp')","(3, 'pp', 'po')","(4, 'po', 'Tau')",,,,
33,"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'Tau')",,,
34,"(3, 'pp', 'Tau')",,,,,,
35,"(4, 'po', 'po')","(4, 'po', 'pp')","(3, 'pp', 'Tau')",,,,
36,"(3, 'pp', 'Tau')",,,,,,
37,"(3, 'va', 'va')","(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,,
38,"(4, 'sib', 'po')","(4, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'po')","(2, 'po', 'Tau')"
39,"(3, 'sib', 'Tau')",,,,,,
40,"(4, 'po', 'po')","(4, 'po', 'Tau')",,,,,
41,"(3, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
42,"(3, 'sib', 'Tau')",,,,,,
43,"(4, 'po', 'Tau')",,,,,,
44,"(4, 'va', 'Tau')",,,,,,
45,"(5, 'pp', 'Tau')",,,,,,
46,"(3, 'va', 'Tau')",,,,,,
47,"(2, 'sib', 'pp')","(2, 'pp', 'Tau')",,,,,
48,"(3, 'va', 'va')","(3, 'va', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
49,"(3, 'sib', 'sib')","(3, 'sib', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
50,"(4, 'sib', 'pp')","(3, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
51,"(4, 'po', 'Tau')",,,,,,
52,"(3, 'va', 'Tau')",,,,,,
53,"(4, 'po', 'Tau')",,,,,,
54,"(4, 'po', 'Tau')",,,,,,
55,"(3, 'pp', 'va')","(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,,
56,"(3, 'po', 'pp')","(3, 'pp', 'Tau')",,,,,
57,"(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
58,"(3, 'po', 'po')","(5, 'po', 'pp')","(6, 'pp', 'Tau')",,,,
59,"(6, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
60,"(3, 'po', 'Tau')",,,,,,
61,"(3, 'va', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
62,"(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
63,"(4, 'va', 'Tau')",,,,,,
64,"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'Tau')",,,,
65,"(6, 'sib', 'Tau')",,,,,,
66,"(3, 'po', 'Tau')",,,,,,
67,"(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,,,
68,"(3, 'po', 'Tau')",,,,,,
69,"(3, 'va', 'Tau')",,,,,,
70,"(3, 'po', 'Tau')",,,,,,
71,"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'po')","(3, 'po', 'Tau')",,,
72,"(3, 'va', 'va')","(3, 'va', 'Tau')",,,,,
73,"(1, 'po', 'Tau')",,,,,,
74,"(3, 'po', 'Tau')",,,,,,
75,"(3, 'va', 'Tau')",,,,,,
76,"(3, 'sib', 'va')","(3, 'va', 'Tau')",,,,,
77,"(3, 'pp', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
78,"(4, 'va', 'po')","(3, 'po', 'po')","(0, 'po', 'pp')","(3, 'pp', 'Tau')",,,
79,"(3, 'pp', 'Tau')",,,,,,
80,"(3, 'po', 'Tau')",,,,,,
81,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
82,"(5, 'pp', 'po')","(3, 'po', 'po')","(3, 'po', 'Tau')",,,,
83,"(3, 'sib', 'Tau')",,,,,,
84,"(3, 'va', 'Tau')",,,,,,
85,"(3, 'pp', 'Tau')",,,,,,
86,"(4, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
87,"(3, 'po', 'Tau')",,,,,,
88,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,
89,"(3, 'sib', 'Tau')",,,,,,
90,"(1, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
91,"(3, 'va', 'pp')","(3, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,
92,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
93,"(3, 'po', 'po')","(3, 'po', 'Tau')",,,,,
94,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
95,"(3, 'po', 'Tau')",,,,,,
96,"(3, 'po', 'sib')","(3, 'sib', 'Tau')",,,,,
97,"(3, 'va', 'Tau')",,,,,,
98,"(3, 'pp', 'va')","(3, 'va', 'Tau')",,,,,
99,"(3, 'po', 'va')","(3, 'va', 'Tau')",,,,,
100,"(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,,
101,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
102,"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",
103,"(3, 'pp', 'Tau')",,,,,,
104,"(3, 'po', 'po')","(3, 'po', 'po')","(3, 'po', 'Tau')",,,,
105,"(3, 'po', 'Tau')",,,,,,
106,"(3, 'sib', 'Tau')",,,,,,
107,"(3, 'va', 'va')","(3, 'va', 'Tau')",,,,,
108,"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'Tau')",,,,
109,"(3, 'pp', 'pp')","(3, 'pp', 'po')","(3, 'po', 'Tau')",,,,
110,"(3, 'po', 'po')","(2, 'po', 'Tau')",,,,,
111,"(3, 'pp', 'Tau')",,,,,,
112,"(3, 'po', 'Tau')",,,,,,
113,"(3, 'pp', 'Tau')",,,,,,
114,"(3, 'pp', 'pp')","(3, 'pp', 'va')","(3, 'va', 'pp')","(3, 'pp', 'po')","(3, 'po', 'po')","(3, 'po', 'va')","(3, 'va', 'Tau')"
115,"(3, 'va', 'va')","(3, 'va', 'Tau')",,,,,
116,"(3, 'sib', 'Tau')",,,,,,
117,"(3, 'va', 'Tau')",,,,,,
118,"(3, 'sib', 'Tau')",,,,,,
119,"(3, 'sib', 'Tau')",,,,,,
120,"(3, 'sib', 'Tau')",,,,,,
121,"(3, 'pp', 'Tau')",,,,,,
122,"(3, 'po', 'va')","(3, 'va', 'Tau')",,,,,
123,"(4, 'sib', 'Tau')",,,,,,
124,"(3, 'po', 'Tau')",,,,,,
125,"(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,,,
126,"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'Tau')",,,,
127,"(3, 'pp', 'sib')","(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,
128,"(3, 'va', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'po')","(3, 'po', 'pp')","(5, 'pp', 'Tau')",,
129,"(3, 'pp', 'Tau')",,,,,,
130,"(3, 'pp', 'Tau')",,,,,,
131,"(3, 'pp', 'Tau')",,,,,,
132,"(3, 'sib', 'sib')","(3, 'sib', 'sib')","(3, 'sib', 'Tau')",,,,
133,"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'va')","(1, 'va', 'pp')","(3, 'pp', 'va')","(3, 'va', 'Tau')"
134,"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')"
135,"(3, 'po', 'va')","(3, 'va', 'va')","(3, 'va', 'Tau')",,,,
136,"(3, 'sib', 'Tau')",,,,,,
137,"(3, 'pp', 'Tau')",,,,,,
138,"(6, 'va', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
139,"(3, 'va', 'va')","(3, 'va', 'Tau')",,,,,
140,"(3, 'pp', 'Tau')",,,,,,
141,"(3, 'va', 'Tau')",,,,,,
142,"(3, 'sib', 'Tau')",,,,,,
143,"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
144,"(3, 'sib', 'Tau')",,,,,,
145,"(3, 'sib', 'Tau')",,,,,,
146,"(3, 'pp', 'pp')","(3, 'pp', 'po')","(3, 'po', 'Tau')",,,,
147,"(3, 'po', 'po')","(3, 'po', 'pp')","(3, 'pp', 'Tau')",,,,
148,"(3, 'va', 'Tau')",,,,,,
149,"(3, 'va', 'va')","(3, 'va', 'Tau')",,,,,
150,"(3, 'po', 'Tau')",,,,,,
151,"(3, 'va', 'Tau')",,,,,,
152,"(3, 'pp', 'Tau')",,,,,,
153,"(3, 'va', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'va')","(3, 'va', 'va')","(3, 'va', 'Tau')",,
154,"(3, 'sib', 'Tau')",,,,,,
155,"(3, 'pp', 'Tau')",,,,,,
156,"(3, 'po', 'po')","(3, 'po', 'pp')","(3, 'pp', 'va')","(3, 'va', 'Tau')",,,
157,"(3, 'sib', 'va')","(3, 'va', 'Tau')",,,,,
158,"(3, 'pp', 'Tau')",,,,,,
159,"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
