,0,1,2,3,4,5,6
0,"(1, 'va', 'Tau')",,,,,,
1,"(1, 'va', 'Tau')",,,,,,
2,"(1, 'va', 'Tau')",,,,,,
3,"(2, 'sib', 'Tau')",,,,,,
4,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
5,"(1, 'va', 'Tau')",,,,,,
6,"(2, 'sib', 'Tau')",,,,,,
7,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
8,"(2, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
9,"(1, 'po', 'Tau')",,,,,,
10,"(2, 'sib', 'Tau')",,,,,,
11,"(1, 'pp', 'Tau')",,,,,,
12,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
13,"(1, 'po', 'Tau')",,,,,,
14,"(2, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
15,"(2, 'sib', 'Tau')",,,,,,
16,"(1, 'po', 'Tau')",,,,,,
17,"(1, 'pp', 'Tau')",,,,,,
18,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
19,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
20,"(1, 'va', 'va')","(1, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
21,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
22,"(1, 'pp', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",
23,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
24,"(1, 'va', 'Tau')",,,,,,
25,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
26,"(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
27,"(2, 'sib', 'Tau')",,,,,,
28,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
29,"(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
30,"(1, 'va', 'Tau')",,,,,,
31,"(1, 'po', 'Tau')",,,,,,
32,"(1, 'po', 'Tau')",,,,,,
33,"(1, 'po', 'Tau')",,,,,,
34,"(1, 'po', 'Tau')",,,,,,
35,"(1, 'pp', 'Tau')",,,,,,
36,"(1, 'va', 'Tau')",,,,,,
37,"(1, 'po', 'va')","(1, 'va', 'Tau')",,,,,
38,"(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,,
39,"(1, 'pp', 'va')","(1, 'va', 'va')","(1, 'va', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'sib')","(2, 'sib', 'Tau')",
40,"(2, 'sib', 'Tau')",,,,,,
41,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
42,"(1, 'pp', 'Tau')",,,,,,
43,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,
44,"(1, 'po', 'Tau')",,,,,,
45,"(1, 'po', 'sib')","(2, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,
46,"(1, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
47,"(1, 'pp', 'Tau')",,,,,,
48,"(1, 'va', 'Tau')",,,,,,
49,"(1, 'po', 'Tau')",,,,,,
50,"(1, 'po', 'Tau')",,,,,,
51,"(1, 'pp', 'Tau')",,,,,,
52,"(1, 'va', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,
53,"(2, 'sib', 'Tau')",,,,,,
54,"(2, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
55,"(1, 'pp', 'Tau')",,,,,,
56,"(2, 'sib', 'Tau')",,,,,,
57,"(1, 'va', 'Tau')",,,,,,
58,"(1, 'va', 'po')","(1, 'po', 'Tau')",,,,,
59,"(1, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'po')","(1, 'po', 'Tau')",,,
60,"(1, 'va', 'Tau')",,,,,,
61,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
62,"(2, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
63,"(1, 'pp', 'pp')","(1, 'pp', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,
64,"(1, 'po', 'Tau')",,,,,,
65,"(1, 'va', 'Tau')",,,,,,
66,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
67,"(1, 'pp', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,
68,"(1, 'va', 'sib')","(2, 'sib', 'Tau')",,,,,
69,"(1, 'po', 'Tau')",,,,,,
70,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
71,"(1, 'va', 'Tau')",,,,,,
72,"(1, 'va', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,,
73,"(1, 'va', 'po')","(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,
74,"(1, 'po', 'Tau')",,,,,,
75,"(1, 'va', 'po')","(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,
76,"(2, 'sib', 'Tau')",,,,,,
77,"(1, 'va', 'Tau')",,,,,,
78,"(1, 'pp', 'Tau')",,,,,,
79,"(2, 'sib', 'sib')","(2, 'sib', 'po')","(1, 'po', 'Tau')",,,,
80,"(1, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
81,"(1, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
82,"(1, 'pp', 'Tau')",,,,,,
83,"(1, 'va', 'Tau')",,,,,,
84,"(1, 'pp', 'pp')","(1, 'pp', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,
85,"(1, 'po', 'Tau')",,,,,,
86,"(1, 'po', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,
87,"(1, 'po', 'va')","(1, 'va', 'Tau')",,,,,
88,"(1, 'po', 'po')","(1, 'po', 'sib')","(2, 'sib', 'Tau')",,,,
89,"(2, 'sib', 'Tau')",,,,,,
90,"(1, 'pp', 'pp')","(1, 'pp', 'po')","(1, 'po', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,
91,"(1, 'po', 'Tau')",,,,,,
92,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'va')","(1, 'va', 'pp')","(1, 'pp', 'pp')"
93,"(1, 'va', 'Tau')",,,,,,
94,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
95,"(1, 'pp', 'Tau')",,,,,,
96,"(1, 'va', 'Tau')",,,,,,
97,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
98,"(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,
99,"(2, 'sib', 'Tau')",,,,,,
100,"(2, 'sib', 'sib')","(2, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,
101,"(2, 'sib', 'Tau')",,,,,,
102,"(2, 'sib', 'Tau')",,,,,,
103,"(1, 'va', 'pp')","(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,
104,"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
105,"(1, 'po', 'Tau')",,,,,,
106,"(1, 'pp', 'Tau')",,,,,,
107,"(2, 'sib', 'Tau')",,,,,,
108,"(1, 'pp', 'Tau')",,,,,,
109,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
110,"(2, 'sib', 'va')","(1, 'va', 'va')","(1, 'va', 'pp')","(1, 'pp', 'Tau')",,,
111,"(1, 'va', 'Tau')",,,,,,
112,"(1, 'pp', 'va')","(1, 'va', 'Tau')",,,,,
113,"(1, 'po', 'po')","(1, 'po', 'pp')","(1, 'pp', 'sib')","(2, 'sib', 'Tau')",,,
114,"(1, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
115,"(1, 'pp', 'Tau')",,,,,,
116,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
