,0,1,2,3,4,5,6
0,"(4, 'va', 'Tau')",,,,,,
1,"(6, 'pp', 'pp')","(4, 'pp', 'va')","(1, 'va', 'Tau')",,,,
2,"(3, 'pp', 'Tau')",,,,,,
3,"(3, 'po', 'po')","(3, 'po', 'Tau')",,,,,
4,"(5, 'va', 'Tau')",,,,,,
5,"(4, 'pp', 'Tau')",,,,,,
6,"(6, 'po', 'Tau')",,,,,,
7,"(4, 'pp', 'va')","(6, 'va', 'Tau')",,,,,
8,"(3, 'po', 'po')","(4, 'po', 'po')","(2, 'po', 'Tau')",,,,
9,"(1, 'po', 'po')","(2, 'po', 'Tau')",,,,,
10,"(2, 'va', 'Tau')",,,,,,
11,"(2, 'va', 'Tau')",,,,,,
12,"(6, 'va', 'Tau')",,,,,,
13,"(1, 'pp', 'Tau')",,,,,,
14,"(4, 'po', 'po')","(5, 'po', 'Tau')",,,,,
15,"(0, 'po', 'Tau')",,,,,,
16,"(6, 'sib', 'po')","(2, 'po', 'pp')","(6, 'pp', 'Tau')",,,,
17,"(6, 'pp', 'Tau')",,,,,,
18,"(2, 'pp', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
19,"(0, 'va', 'va')","(2, 'va', 'Tau')",,,,,
20,"(5, 'po', 'Tau')",,,,,,
21,"(0, 'sib', 'Tau')",,,,,,
22,"(2, 'sib', 'sib')","(3, 'sib', 'sib')","(0, 'sib', 'va')","(1, 'va', 'va')","(2, 'va', 'Tau')",,
23,"(4, 'sib', 'va')","(0, 'va', 'Tau')",,,,,
24,"(0, 'pp', 'Tau')",,,,,,
25,"(2, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
26,"(2, 'va', 'Tau')",,,,,,
27,"(0, 'va', 'Tau')",,,,,,
28,"(0, 'va', 'Tau')",,,,,,
29,"(1, 'va', 'Tau')",,,,,,
30,"(0, 'pp', 'pp')","(1, 'pp', 'pp')","(4, 'pp', 'va')","(1, 'va', 'pp')","(1, 'pp', 'pp')","(6, 'pp', 'po')","(0, 'po', 'Tau')"
31,"(6, 'va', 'Tau')",,,,,,
