,0,1,2,3,4,5,6
0,"(2, 'va', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'va')","(3, 'va', 'va')","(1, 'va', 'Tau')",,
1,"(4, 'po', 'pp')","(1, 'pp', 'sib')","(0, 'sib', 'Tau')",,,,
2,"(1, 'va', 'pp')","(6, 'pp', 'pp')","(5, 'pp', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'Tau')",,
3,"(2, 'po', 'Tau')",,,,,,
4,"(3, 'va', 'po')","(2, 'po', 'Tau')",,,,,
5,"(3, 'pp', 'pp')","(2, 'pp', 'va')","(6, 'va', 'va')","(5, 'va', 'po')","(2, 'po', 'po')","(2, 'po', 'sib')","(2, 'sib', 'Tau')"
6,"(1, 'sib', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
7,"(4, 'va', 'Tau')",,,,,,
8,"(1, 'po', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
9,"(1, 'pp', 'sib')","(4, 'sib', 'Tau')",,,,,
10,"(0, 'po', 'Tau')",,,,,,
11,"(0, 'va', 'Tau')",,,,,,
12,"(4, 'sib', 'Tau')",,,,,,
13,"(4, 'sib', 'Tau')",,,,,,
14,"(2, 'pp', 'Tau')",,,,,,
15,"(3, 'po', 'Tau')",,,,,,
16,"(0, 'sib', 'Tau')",,,,,,
17,"(4, 'va', 'Tau')",,,,,,
18,"(0, 'sib', 'Tau')",,,,,,
19,"(2, 'pp', 'Tau')",,,,,,
20,"(2, 'pp', 'Tau')",,,,,,
21,"(4, 'va', 'Tau')",,,,,,
22,"(6, 'sib', 'pp')","(6, 'pp', 'pp')","(2, 'pp', 'pp')","(2, 'pp', 'Tau')",,,
23,"(2, 'pp', 'va')","(0, 'va', 'va')","(4, 'va', 'Tau')",,,,
24,"(2, 'pp', 'pp')","(1, 'pp', 'pp')","(0, 'pp', 'pp')","(3, 'pp', 'sib')","(0, 'sib', 'Tau')",,
25,"(6, 'po', 'pp')","(4, 'pp', 'pp')","(2, 'pp', 'pp')","(5, 'pp', 'Tau')",,,
26,"(0, 'sib', 'sib')","(4, 'sib', 'sib')","(5, 'sib', 'sib')","(3, 'sib', 'pp')","(5, 'pp', 'va')","(4, 'va', 'Tau')",
27,"(3, 'po', 'Tau')",,,,,,
28,"(5, 'pp', 'Tau')",,,,,,
