,0,1,2,3,4,5,6
0,"(5, 'po', 'po')","(3, 'po', 'pp')","(5, 'pp', 'pp')","(0, 'pp', 'pp')","(1, 'pp', 'Tau')",,
1,"(5, 'po', 'Tau')",,,,,,
2,"(4, 'sib', 'sib')","(5, 'sib', 'Tau')",,,,,
3,"(3, 'pp', 'sib')","(5, 'sib', 'Tau')",,,,,
4,"(2, 'po', 'va')","(4, 'va', 'Tau')",,,,,
5,"(5, 'sib', 'Tau')",,,,,,
6,"(3, 'po', 'po')","(2, 'po', 'Tau')",,,,,
7,"(6, 'sib', 'po')","(6, 'po', 'pp')","(0, 'pp', 'va')","(6, 'va', 'pp')","(0, 'pp', 'sib')","(4, 'sib', 'Tau')",
8,"(4, 'sib', 'Tau')",,,,,,
9,"(5, 'po', 'pp')","(5, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
10,"(3, 'pp', 'pp')","(4, 'pp', 'pp')","(1, 'pp', 'va')","(6, 'va', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'Tau')",
11,"(1, 'va', 'Tau')",,,,,,
12,"(3, 'sib', 'sib')","(0, 'sib', 'Tau')",,,,,
13,"(1, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
14,"(5, 'po', 'pp')","(2, 'pp', 'Tau')",,,,,
15,"(3, 'sib', 'Tau')",,,,,,
16,"(6, 'pp', 'Tau')",,,,,,
17,"(5, 'po', 'pp')","(2, 'pp', 'pp')","(5, 'pp', 'pp')","(3, 'pp', 'po')","(4, 'po', 'Tau')",,
18,"(6, 'va', 'pp')","(0, 'pp', 'po')","(3, 'po', 'Tau')",,,,
19,"(3, 'pp', 'Tau')",,,,,,
20,"(3, 'po', 'po')","(0, 'po', 'po')","(3, 'po', 'Tau')",,,,
21,"(4, 'va', 'Tau')",,,,,,
22,"(3, 'va', 'Tau')",,,,,,
23,"(5, 'sib', 'Tau')",,,,,,
24,"(0, 'po', 'va')","(6, 'va', 'pp')","(5, 'pp', 'po')","(4, 'po', 'Tau')",,,
25,"(1, 'sib', 'Tau')",,,,,,
26,"(1, 'sib', 'Tau')",,,,,,
27,"(1, 'po', 'Tau')",,,,,,
28,"(2, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
29,"(1, 'po', 'po')","(5, 'po', 'po')","(3, 'po', 'Tau')",,,,
30,"(4, 'po', 'Tau')",,,,,,
31,"(4, 'pp', 'Tau')",,,,,,
32,"(2, 'pp', 'Tau')",,,,,,
33,"(3, 'va', 'Tau')",,,,,,
34,"(2, 'pp', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'po')","(1, 'po', 'po')","(0, 'po', 'va')","(5, 'va', 'Tau')"
35,"(4, 'va', 'Tau')",,,,,,
36,"(3, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,,
37,"(2, 'sib', 'sib')","(1, 'sib', 'po')","(3, 'po', 'Tau')",,,,
38,"(6, 'sib', 'Tau')",,,,,,
39,"(6, 'po', 'pp')","(2, 'pp', 'Tau')",,,,,
40,"(4, 'sib', 'Tau')",,,,,,
41,"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
42,"(6, 'va', 'pp')","(2, 'pp', 'sib')","(3, 'sib', 'sib')","(1, 'sib', 'Tau')",,,
43,"(2, 'pp', 'Tau')",,,,,,
44,"(5, 'pp', 'Tau')",,,,,,
45,"(5, 'sib', 'Tau')",,,,,,
46,"(4, 'va', 'Tau')",,,,,,
47,"(0, 'pp', 'Tau')",,,,,,
48,"(4, 'po', 'Tau')",,,,,,
49,"(6, 'va', 'pp')","(1, 'pp', 'Tau')",,,,,
50,"(6, 'va', 'Tau')",,,,,,
51,"(4, 'sib', 'va')","(5, 'va', 'va')","(3, 'va', 'va')","(2, 'va', 'Tau')",,,
52,"(0, 'po', 'pp')","(1, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
53,"(1, 'sib', 'Tau')",,,,,,
54,"(3, 'va', 'va')","(2, 'va', 'Tau')",,,,,
55,"(1, 'pp', 'pp')","(3, 'pp', 'va')","(6, 'va', 'pp')","(4, 'pp', 'Tau')",,,
56,"(3, 'pp', 'Tau')",,,,,,
57,"(0, 'pp', 'Tau')",,,,,,
58,"(2, 'pp', 'va')","(2, 'va', 'Tau')",,,,,
59,"(1, 'sib', 'Tau')",,,,,,
60,"(2, 'va', 'Tau')",,,,,,
61,"(6, 'sib', 'Tau')",,,,,,
62,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
63,"(3, 'sib', 'Tau')",,,,,,
64,"(1, 'po', 'Tau')",,,,,,
65,"(1, 'pp', 'Tau')",,,,,,
66,"(1, 'pp', 'Tau')",,,,,,
67,"(1, 'po', 'Tau')",,,,,,
68,"(3, 'sib', 'sib')","(6, 'sib', 'pp')","(4, 'pp', 'va')","(3, 'va', 'va')","(4, 'va', 'va')","(4, 'va', 'pp')","(0, 'pp', 'Tau')"
69,"(2, 'sib', 'sib')","(6, 'sib', 'Tau')",,,,,
70,"(0, 'po', 'Tau')",,,,,,
71,"(2, 'va', 'Tau')",,,,,,
72,"(0, 'po', 'va')","(5, 'va', 'Tau')",,,,,
73,"(2, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
74,"(2, 'va', 'Tau')",,,,,,
75,"(0, 'po', 'Tau')",,,,,,
76,"(5, 'va', 'pp')","(6, 'pp', 'Tau')",,,,,
77,"(1, 'va', 'Tau')",,,,,,
78,"(1, 'va', 'sib')","(0, 'sib', 'Tau')",,,,,
79,"(6, 'va', 'pp')","(2, 'pp', 'Tau')",,,,,
80,"(5, 'po', 'Tau')",,,,,,
81,"(1, 'sib', 'Tau')",,,,,,
82,"(1, 'va', 'Tau')",,,,,,
83,"(0, 'po', 'pp')","(2, 'pp', 'Tau')",,,,,
84,"(1, 'sib', 'sib')","(6, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,
85,"(6, 'pp', 'Tau')",,,,,,
86,"(4, 'po', 'Tau')",,,,,,
87,"(5, 'pp', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
88,"(2, 'sib', 'sib')","(0, 'sib', 'Tau')",,,,,
89,"(3, 'va', 'pp')","(1, 'pp', 'va')","(2, 'va', 'Tau')",,,,
90,"(0, 'pp', 'Tau')",,,,,,
91,"(2, 'sib', 'Tau')",,,,,,
92,"(2, 'pp', 'pp')","(0, 'pp', 'va')","(3, 'va', 'va')","(1, 'va', 'Tau')",,,
93,"(6, 'sib', 'Tau')",,,,,,
94,"(0, 'pp', 'Tau')",,,,,,
