"(4, 'pp', 'Tau')",,,,,,
"(0, 'po', 'Tau')",,,,,,
"(4, 'sib', 'pp')","(6, 'pp', 'Tau')",,,,,
"(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,,
"(4, 'pp', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(0, 'po', 'pp')","(4, 'pp', 'Tau')",,,,,
"(0, 'po', 'Tau')",,,,,,
"(4, 'pp', 'Tau')",,,,,,
"(3, 'va', 'va')","(4, 'va', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
"(3, 'sib', 'Tau')",,,,,,
"(3, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
"(3, 'po', 'va')","(2, 'va', 'Tau')",,,,,
"(3, 'pp', 'Tau')",,,,,,
"(3, 'sib', 'pp')","(4, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
"(3, 'po', 'va')","(2, 'va', 'Tau')",,,,,
"(3, 'sib', 'Tau')",,,,,,
"(3, 'sib', 'Tau')",,,,,,
"(2, 'sib', 'Tau')",,,,,,
"(3, 'pp', 'pp')","(3, 'pp', 'po')","(3, 'po', 'pp')","(4, 'pp', 'Tau')",,,
"(3, 'po', 'Tau')",,,,,,
"(4, 'va', 'Tau')",,,,,,
"(2, 'sib', 'Tau')",,,,,,
"(2, 'va', 'Tau')",,,,,,
"(2, 'sib', 'Tau')",,,,,,
"(2, 'sib', 'pp')","(2, 'pp', 'pp')","(2, 'pp', 'va')","(2, 'va', 'pp')","(2, 'pp', 'va')","(2, 'va', 'Tau')",
"(5, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
"(3, 'pp', 'va')","(2, 'va', 'Tau')",,,,,
"(2, 'sib', 'po')","(3, 'po', 'pp')","(3, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(4, 'va', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,,,
"(1, 'sib', 'Tau')",,,,,,
"(5, 'va', 'Tau')",,,,,,
"(3, 'po', 'po')","(3, 'po', 'pp')","(2, 'pp', 'Tau')",,,,
"(3, 'po', 'Tau')",,,,,,
"(3, 'va', 'pp')","(3, 'pp', 'po')","(3, 'po', 'pp')","(3, 'pp', 'Tau')",,,
"(0, 'sib', 'sib')","(4, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,
"(3, 'pp', 'Tau')",,,,,,
"(3, 'pp', 'Tau')",,,,,,
"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'sib', 'Tau')",,,,,,
"(3, 'po', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,,,
"(4, 'sib', 'Tau')",,,,,,
"(3, 'va', 'pp')","(5, 'pp', 'pp')","(4, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(3, 'va', 'Tau')",,,,,,
"(4, 'po', 'po')","(3, 'po', 'Tau')",,,,,
"(3, 'va', 'Tau')",,,,,,
"(3, 'po', 'pp')","(0, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'Tau')",
"(3, 'va', 'Tau')",,,,,,
"(3, 'po', 'Tau')",,,,,,
"(3, 'po', 'pp')","(4, 'pp', 'pp')","(3, 'pp', 'va')","(5, 'va', 'pp')","(3, 'pp', 'Tau')",,
"(3, 'po', 'Tau')",,,,,,
"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'va', 'va')","(3, 'va', 'va')","(3, 'va', 'pp')","(3, 'pp', 'Tau')",,,
"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
"(3, 'po', 'Tau')",,,,,,
"(3, 'va', 'va')","(3, 'va', 'Tau')",,,,,
"(3, 'sib', 'Tau')",,,,,,
"(6, 'pp', 'po')","(3, 'po', 'Tau')",,,,,
"(3, 'po', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'va')","(3, 'va', 'Tau')",,,
