"(1, 'sib', 'pp')","(3, 'pp', 'pp')","(3, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
"(1, 'va', 'va')","(1, 'va', 'Tau')",,,,,
"(6, 'va', 'Tau')",,,,,,
"(1, 'va', 'pp')","(2, 'pp', 'sib')","(0, 'sib', 'pp')","(2, 'pp', 'Tau')",,,
"(2, 'pp', 'pp')","(3, 'pp', 'va')","(2, 'va', 'Tau')",,,,
"(4, 'sib', 'po')","(0, 'po', 'po')","(6, 'po', 'Tau')",,,,
"(1, 'po', 'pp')","(3, 'pp', 'va')","(6, 'va', 'pp')","(3, 'pp', 'pp')","(0, 'pp', 'Tau')",,
"(1, 'pp', 'Tau')",,,,,,
"(0, 'va', 'Tau')",,,,,,
"(2, 'va', 'sib')","(2, 'sib', 'Tau')",,,,,
"(2, 'pp', 'pp')","(5, 'pp', 'po')","(3, 'po', 'Tau')",,,,
"(0, 'pp', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,
"(4, 'va', 'va')","(2, 'va', 'pp')","(5, 'pp', 'Tau')",,,,
"(3, 'va', 'pp')","(6, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,
"(1, 'po', 'po')","(2, 'po', 'pp')","(5, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
"(2, 'po', 'po')","(3, 'po', 'po')","(0, 'po', 'po')","(3, 'po', 'po')","(6, 'po', 'sib')","(5, 'sib', 'sib')","(4, 'sib', 'pp')"
"(0, 'po', 'va')","(4, 'va', 'Tau')",,,,,
"(4, 'va', 'sib')","(4, 'sib', 'Tau')",,,,,
"(6, 'va', 'pp')","(0, 'pp', 'pp')","(5, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
"(3, 'sib', 'Tau')",,,,,,
"(2, 'va', 'Tau')",,,,,,
"(2, 'po', 'pp')","(0, 'pp', 'Tau')",,,,,
"(2, 'va', 'Tau')",,,,,,
"(0, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
"(3, 'pp', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'Tau')",,,,
"(3, 'sib', 'sib')","(4, 'sib', 'Tau')",,,,,
"(0, 'va', 'Tau')",,,,,,
"(2, 'sib', 'sib')","(1, 'sib', 'po')","(1, 'po', 'Tau')",,,,
"(0, 'po', 'Tau')",,,,,,
"(2, 'va', 'Tau')",,,,,,
"(3, 'va', 'va')","(6, 'va', 'pp')","(1, 'pp', 'va')","(4, 'va', 'Tau')",,,
"(4, 'sib', 'po')","(0, 'po', 'va')","(3, 'va', 'va')","(1, 'va', 'Tau')",,,
"(6, 'va', 'va')","(2, 'va', 'Tau')",,,,,
"(2, 'po', 'Tau')",,,,,,
"(3, 'pp', 'Tau')",,,,,,
"(2, 'sib', 'Tau')",,,,,,
"(0, 'sib', 'pp')","(0, 'pp', 'pp')","(2, 'pp', 'va')","(3, 'va', 'Tau')",,,
