,No Drift,Drift Type: random,Drift Type: similar,Drift Type: inverse,No Drift_std,Drift Type: random_std,Drift Type: similar_std,Drift Type: inverse_std
0,-1.6,-3.4,-4.2,-1.8,1.7435595774162693,3.7202150475476548,5.1536394906900505,2.039607805437114
1,-4.6,-2.8,-1.2,0.0,4.223742416388575,7.6000000000000005,2.4,0.6324555320336759
2,-7.0,-4.2,-1.0,0.4,6.841052550594828,0.39999999999999997,2.5298221281347035,0.48989794855663565
3,-4.0,-1.0,-3.0,0.8,8.024961059095553,1.6733200530681511,4.2895221179054435,0.4
4,-7.4,0.6,-1.6,-3.6,12.467557900406959,0.48989794855663565,2.4979991993593593,1.4966629547095764
5,-4.0,-2.2,-3.2,0.6,4.774934554525329,2.3151673805580453,5.075431016179809,0.8000000000000002
6,-0.6,-2.4,-2.8,0.6,2.244994432064365,2.4166091947189146,4.445222154178573,0.48989794855663565
7,0.6,-3.8,-4.2,-0.8,0.48989794855663565,5.878775382679627,3.249615361854384,2.638181191654584
8,-2.6,-1.2,-2.0,-6.0,3.9293765408777004,1.6,2.449489742783178,7.797435475847171
9,-4.8,-6.0,-7.8,-3.8,8.399999999999999,7.5099933422074345,7.30479294709987,4.707440918375928
10,-3.0,-4.6,-9.6,-1.2,6.54217089351845,4.923413450036469,9.178235124467014,3.4292856398964493
11,-0.8,-7.0,-2.0,-0.4,2.227105745132009,9.818350166906862,3.3466401061363023,1.4966629547095764
12,-0.2,-6.4,-0.4,-2.2,2.4,6.8,2.33238075793812,2.7129319932501073
13,-3.2,-4.6,-3.4,-2.2,4.069397989875161,4.923413450036469,7.812809993849844,5.418486873657627
14,-0.2,-5.8,-3.2,-1.4,1.5999999999999999,7.934733769950949,6.20966987850401,2.0591260281974
15,-3.2,-2.4,-3.6,-2.6,5.5641710972974225,2.727636339397171,7.227724399837061,1.854723699099141
16,-0.2,-4.6,-2.4,-2.2,1.4696938456699067,6.829348431585549,2.576819745345025,4.1182520563948
17,-2.0,-1.8,-3.6,-5.8,1.6733200530681511,4.166533331199932,4.079215610874227,7.138627319029898
18,-2.0,-2.8,0.8,-0.4,4.0,7.6000000000000005,0.4,1.8547236990991407
19,-10.8,-3.8,-6.2,-9.8,12.796874618437112,6.368673331236263,7.222188034107115,10.906878563548785
20,-2.4,-1.4,-3.6,-0.8,5.817215828899594,3.1999999999999997,5.276362383309167,1.8330302779823362
21,-1.6,-1.4,-2.4,-5.8,2.0591260281974,3.826225293941798,2.0591260281974,6.368673331236263
22,-4.2,-3.6,-2.0,-3.0,5.635601121442148,2.33238075793812,2.5298221281347035,8.0
23,-0.6,-3.4,-0.8,-4.2,1.3564659966250536,3.9293765408777004,2.1354156504062622,6.11228271597445
24,-5.8,-1.0,-2.4,-0.4,6.11228271597445,2.6076809620810595,3.49857113690718,0.48989794855663565
25,-1.4,-0.6,-3.6,-2.2,2.5768197453450252,1.9595917942265426,5.276362383309168,4.445222154178574
