,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
0,-2.4,-5.0,-3.2,0.4,-4.0,-2.4,5.817215828899594,6.723094525588644,5.418486873657627,0.48989794855663565,4.049691346263317,2.1540659228538015
1,-4.8,-3.4,-7.8,-2.4,-1.4,-2.8,6.337191807101943,6.858571279792899,8.304215796810679,5.851495535331118,2.33238075793812,2.7129319932501073
2,-0.6,-4.6,-0.2,-0.8,-12.2,-2.0,1.8547236990991407,5.642694391866353,0.9797958971132713,1.9390719429665317,6.11228271597445,4.516635916254486
3,-3.4,-2.2,0.0,-6.4,-3.4,-1.2,3.2619012860600183,1.9390719429665317,1.2649110640673518,7.812809993849844,6.248199740725324,2.925747767665559
4,-5.4,-3.4,0.6,-4.4,-2.0,-0.8,3.2619012860600183,4.758150901348127,0.48989794855663565,3.8781438859330635,2.280350850198276,1.32664991614216
5,-1.4,-4.0,-1.8,-4.2,-4.4,-4.8,2.8705400188814645,3.40587727318528,2.925747767665559,9.907572861200668,5.571355310873648,8.034923770640267
6,0.6,-4.0,-2.0,-3.0,-1.2,-1.6,0.8000000000000002,3.63318042491699,4.0,3.8987177379235853,2.7129319932501077,2.8
7,-2.2,-2.2,-1.4,-2.0,-2.4,-2.0,2.785677655436824,4.354308211415448,3.878143885933063,1.7888543819998317,4.079215610874227,6.0
8,-8.0,-3.8,-2.0,-2.2,-5.6,-5.2,9.09945053286186,3.3105890714493698,1.7888543819998317,4.166533331199932,8.309031231136395,5.706137047074843
9,-2.6,-4.4,0.2,-4.0,-5.6,-4.2,7.200000000000001,4.127953488110059,0.4,6.2289646009589745,10.36532681587995,7.934733769950949
10,-1.4,-2.0,-1.8,-5.8,-1.4,0.6,4.8,4.049691346263317,3.7629775444453557,8.657944328765344,2.416609194718914,0.48989794855663565
11,-5.0,-0.6,-1.6,-0.4,-1.0,-2.2,7.58946638440411,1.624807680927192,3.2619012860600183,1.019803902718557,1.6733200530681511,3.1874754901018454
12,-5.6,-1.4,-6.4,0.4,-0.4,-7.0,7.552483035399682,3.3226495451672298,8.475848040166836,0.7999999999999999,1.4966629547095764,9.20869154657707
13,-3.2,0.4,-0.6,-3.6,0.0,-1.2,3.6,0.7999999999999999,1.3564659966250538,7.255342858886822,1.0954451150103321,2.227105745132009
