,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
0,-3.2,-1.2,-7.8,-3.0,-8.8,-0.4,3.1874754901018454,3.919183588453085,6.241794613730894,3.63318042491699,8.423775875461075,0.7999999999999999
1,-3.2,-5.4,-4.4,-1.8,-0.8,-7.4,2.7856776554368237,10.32666451474047,6.086049621881176,2.1354156504062622,0.7483314773547883,6.086049621881176
2,-6.4,-4.8,-1.4,-2.4,-1.2,-3.8,11.377170122662314,5.706137047074842,1.854723699099141,3.1368774282716245,1.7204650534085253,4.534313619501853
3,-6.2,-2.8,-3.2,-1.4,-5.2,-2.0,7.88416133777081,4.955804677345546,6.584831053261731,2.416609194718914,5.775811631277461,2.5298221281347035
4,-2.2,-7.8,-4.4,-2.4,-5.0,-2.0,2.7856776554368237,9.108238029388561,6.086049621881176,5.351635264103861,4.049691346263317,2.0976176963403033
5,-1.2,-2.4,-2.0,-2.4,-0.8,0.6,2.85657137141714,4.079215610874227,2.0976176963403033,2.870540018881465,1.9390719429665317,0.48989794855663565
6,-1.8,-4.2,-2.4,-6.8,-7.0,-2.6,1.9390719429665315,4.955804677345547,2.154065922853802,7.277362159464101,6.663332499583072,4.317406628984581
7,-3.8,-2.6,-3.2,-4.6,-11.0,-2.2,3.54400902933387,4.317406628984581,3.1874754901018454,3.7202150475476548,12.345039489608771,3.1874754901018454
8,-1.8,-4.4,-2.6,-1.0,-3.4,-3.0,3.655133376499413,6.216108107168021,4.127953488110059,1.7888543819998317,2.9393876913398143,4.427188724235731
9,-0.8,-4.6,-6.6,0.0,-4.4,-1.0,2.638181191654584,4.363484845854286,7.787168933572714,0.6324555320336759,4.498888751680798,2.0976176963403033
10,-0.8,-2.0,-0.8,-2.8,-5.6,-7.2,1.8330302779823362,3.794733192202055,1.32664991614216,3.4871191548325386,4.454211490264017,7.19444229944198
11,-6.6,-1.0,-3.0,-2.2,-5.2,-4.4,11.39473562659529,2.0976176963403033,6.603029607687671,2.2271057451320084,7.166589146867567,6.216108107168021
12,-7.6,-0.2,-3.2,-7.0,0.0,-2.6,6.1838499334961226,0.4000000000000001,5.114684741017769,9.011104260855047,1.0954451150103321,3.6110940170535577
13,-7.8,-1.8,-1.0,-6.4,0.4,0.6,5.491812087098393,3.919183588453085,4.0,7.391887445030531,0.48989794855663565,0.8
14,-0.6,-1.2,-11.4,-1.8,0.0,-4.6,1.8547236990991407,2.9257477676655586,10.131140113531153,2.3151673805580453,2.0,5.607138307550474
15,-2.8,-2.0,-1.6,-9.0,-3.6,-3.8,5.455272678794342,2.0,4.715930449020639,8.414273587185052,3.878143885933063,4.069397989875161
16,-0.8,-0.6,-5.0,-2.8,-10.8,0.2,1.7204650534085255,1.019803902718557,3.63318042491699,3.8678159211627436,5.491812087098392,0.7483314773547883
17,-0.4,-4.0,-3.0,-2.8,0.0,-2.4,1.4966629547095764,4.857983120596447,3.40587727318528,3.9698866482558417,0.6324555320336759,3.97994974842648
18,-2.8,0.0,-2.0,-0.6,-3.8,-0.4,2.4,1.5491933384829668,2.898275349237888,2.3323807579381204,5.035871324805668,1.8547236990991407
19,-7.6,-5.0,-7.8,-2.6,-7.4,-5.0,5.71314274283428,7.014271166700073,6.794115100585212,4.715930449020639,9.991996797437437,11.50651989091402
20,-5.6,-2.2,-0.2,-7.4,0.0,-1.4,9.046546302318914,2.4,1.4696938456699067,8.73155198117723,0.6324555320336759,2.4166091947189146
21,-2.8,-1.2,0.2,-4.2,-0.2,-3.0,3.9698866482558417,2.993325909419153,0.7483314773547883,6.615134163416491,1.16619037896906,4.774934554525329
