,No Drift,State Change: va,State Change: po,State Change: sib,State Change: pp,State Change: All,No Drift_std,State Change: va_std,State Change: po_std,State Change: sib_std,State Change: pp_std,State Change: All_std
0,-3.6,-3.0,-4.4,-6.8,-3.6,-1.2,3.8781438859330635,4.049691346263317,4.2708313008125245,8.423775875461075,4.6303347611160905,1.9390719429665317
1,-2.4,-5.6,-2.0,-0.4,-9.6,-3.6,4.923413450036469,6.1838499334961226,4.560701700396552,1.4966629547095764,11.377170122662314,3.6660605559646715
2,-2.0,-4.0,-1.6,-5.4,-4.8,0.0,2.5298221281347035,9.033271832508971,1.019803902718557,9.308061022576078,7.277362159464101,0.8944271909999159
3,-2.0,0.6,-1.6,-7.8,-2.6,-5.8,2.0,0.48989794855663565,2.5768197453450252,13.044539087296263,3.0066592756745814,7.678541528180987
4,-1.6,0.0,-3.2,-6.2,-1.2,-3.2,1.624807680927192,0.6324555320336759,4.166533331199932,7.35934779718964,3.4292856398964493,2.3151673805580453
5,-3.8,-8.0,-4.4,0.0,-4.8,0.4,6.49307323229917,7.238784428341543,8.01498596380555,1.2649110640673518,4.749736834815167,0.7999999999999999
6,-1.0,0.0,-4.0,-1.8,0.0,-6.0,2.6076809620810595,1.2649110640673518,6.356099432828281,2.4819347291981715,1.0954451150103321,6.356099432828281
7,-3.6,-1.8,0.0,-1.8,-3.2,-2.6,7.709734106958553,2.3151673805580453,0.8944271909999159,3.655133376499413,4.48998886412873,2.727636339397171
8,-2.2,-2.8,-2.8,-1.0,-3.4,-4.4,2.2271057451320084,4.66476151587624,4.166533331199932,3.03315017762062,7.812809993849844,6.6211781428987395
9,-0.6,-3.4,-2.8,-1.2,-7.8,-3.2,2.244994432064365,6.086049621881176,4.214261501141095,2.7129319932501073,6.04648658313239,3.919183588453085
10,-4.6,-1.4,-3.6,0.6,-1.4,-2.2,2.65329983228432,2.9393876913398134,6.7111846942250075,0.8000000000000002,2.8705400188814645,3.0594117081556713
11,-2.8,-5.6,-0.4,-5.8,-2.6,-0.2,1.9390719429665317,5.314132102234569,1.4966629547095764,8.059776671843954,4.317406628984581,1.9390719429665317
12,-2.6,-1.6,-3.8,-2.6,-4.0,-1.0,4.317406628984581,4.715930449020639,8.611620056644394,4.586937976471886,2.8284271247461903,2.1908902300206643
13,-1.2,-3.0,-4.0,-0.6,-3.6,0.0,1.9390719429665317,5.0990195135927845,4.049691346263317,2.0591260281974,6.343500610861483,2.0
14,-4.4,-2.6,-4.8,-1.6,-1.0,-2.8,3.2,3.1368774282716245,6.49307323229917,3.3823069050575527,2.0976176963403033,2.7856776554368237
15,-6.6,-2.6,-1.6,-1.4,-6.2,-1.0,3.4985711369071804,6.7111846942250075,2.8000000000000003,2.244994432064365,9.21737489744233,3.03315017762062
16,-0.4,-6.0,-8.8,-4.0,-2.4,0.2,1.4966629547095764,6.899275324264136,7.30479294709987,4.09878030638384,4.841487374764082,1.6
17,-3.4,0.2,0.0,-1.4,-4.6,-1.4,5.462600113499065,0.7483314773547883,0.6324555320336759,2.576819745345025,4.498888751680798,2.244994432064365
18,-1.2,-3.2,-4.6,-5.4,-1.4,-4.0,2.4,5.946427498927402,5.817215828899594,5.122499389946279,2.576819745345025,4.857983120596447
19,0.6,-1.8,-3.2,0.8,-2.8,-1.4,0.48989794855663565,4.166533331199932,3.3105890714493698,0.4,2.993325909419153,4.317406628984581
20,-2.8,-1.6,-3.0,-2.8,-6.6,-1.0,2.785677655436824,4.223742416388576,5.019960159204453,2.039607805437114,6.437390775772433,2.449489742783178
21,-3.4,-4.2,-1.6,-1.0,-3.6,-1.4,5.986651818838307,3.655133376499413,1.624807680927192,2.0976176963403033,4.029888335921977,2.576819745345025
22,-4.8,-3.6,-3.2,-2.8,0.2,-0.6,2.785677655436824,4.963869458396343,5.912698199637793,4.66476151587624,0.4000000000000001,2.244994432064365
23,-2.8,-2.8,-4.6,-6.8,-0.4,0.0,5.30659966456864,5.15363949069005,5.122499389946279,9.907572861200668,1.4966629547095764,2.0
24,0.6,-1.8,-3.2,-1.4,-3.0,-1.0,0.48989794855663565,4.1182520563948,3.059411708155671,1.8547236990991407,4.857983120596447,2.5298221281347035
25,-0.6,-1.6,-8.0,-0.6,-3.0,-0.4,1.8547236990991407,4.2708313008125245,6.603029607687671,2.244994432064365,3.794733192202055,2.33238075793812
26,-1.0,-5.2,-5.0,-0.4,-1.6,0.4,3.03315017762062,6.8527366796047255,8.12403840463596,0.48989794855663565,2.8000000000000003,0.7999999999999999
27,0.4,-2.8,-2.2,-4.6,-0.6,-5.4,0.48989794855663565,2.993325909419153,2.5612496949731396,5.986651818838306,3.2000000000000006,10.818502669038818
28,-0.6,-0.4,-0.4,-0.8,-5.0,-2.6,1.9595917942265426,1.3564659966250538,1.019803902718557,2.227105745132009,4.1952353926806065,2.65329983228432
29,0.6,-2.2,-3.8,-0.4,0.6,-0.6,0.48989794855663565,2.85657137141714,8.133879763065101,1.4966629547095764,0.48989794855663565,2.244994432064365
30,-10.0,-0.8,-6.4,-3.0,-1.8,-2.0,9.919677414109795,1.8330302779823362,5.122499389946279,2.6076809620810595,3.655133376499413,4.560701700396552
31,0.0,-1.6,-1.6,-4.8,-3.4,0.8,0.8944271909999159,4.223742416388576,2.0591260281974,6.5848310532617305,4.63033476111609,0.4000000000000001
32,-4.8,-2.6,-3.4,-0.2,-6.0,-1.8,6.079473661428265,4.2708313008125245,3.0724582991474434,0.9797958971132713,6.29285308902091,5.1146847410177685
33,-4.6,-2.2,-1.8,-2.4,-3.4,-4.0,6.118823416311342,2.7129319932501073,4.1182520563948,1.4966629547095767,4.498888751680797,6.723094525588644
34,-1.4,-2.8,-1.6,-3.2,-2.6,0.6,3.8781438859330635,3.9698866482558417,2.0591260281974,2.4819347291981715,3.8262252939417984,0.48989794855663565
35,-1.0,-7.6,-2.4,-2.8,-5.4,-1.2,2.0976176963403033,7.709734106958553,4.029888335921977,3.54400902933387,6.151422599691879,2.4000000000000004
36,-4.8,-3.8,-3.6,-0.2,-2.2,-3.4,5.035871324805669,5.035871324805668,3.7202150475476548,1.1661903789690602,4.534313619501854,5.238320341483518
37,-5.6,-2.0,-9.8,-3.2,-1.0,-13.0,6.651315659326356,2.280350850198276,6.968500556073739,2.6381811916545836,1.7888543819998317,12.214745187681975
38,-4.2,-5.2,-2.6,-3.2,-4.2,0.0,7.249827584156743,4.069397989875161,5.238320341483519,3.9698866482558417,5.706137047074843,1.2649110640673518
39,-2.4,0.4,-2.8,-0.4,-2.2,-2.4,2.9393876913398134,0.7999999999999999,3.1874754901018454,0.7999999999999999,2.925747767665559,4.715930449020639
40,-1.6,-3.4,-1.2,-7.4,-2.4,-7.2,2.870540018881465,5.607138307550475,3.919183588453085,7.761443164772903,3.9293765408777,8.109253973085318
41,-1.8,-4.0,-2.0,0.2,-2.2,-1.6,3.1874754901018454,4.857983120596447,2.8284271247461903,0.7483314773547883,3.54400902933387,2.4979991993593593
42,-7.4,-7.4,-0.8,-1.6,0.0,-1.8,8.089499366462674,6.887670143089026,3.124099870362662,4.223742416388575,1.0954451150103321,2.039607805437114
43,-1.8,-4.6,-7.8,-7.2,-0.6,-2.2,3.7629775444453557,5.388877434122992,4.4,8.447484832777151,2.244994432064365,5.912698199637793
44,-1.2,-3.6,-2.6,-3.0,-0.8,-1.4,2.4,3.6660605559646724,3.826225293941799,5.692099788303083,0.9797958971132713,2.5768197453450252
45,-1.4,-1.0,-4.8,-5.8,-2.0,0.6,2.576819745345025,2.280350850198276,5.844655678480983,7.025667228100118,2.449489742783178,0.48989794855663565
