,0,1,2,3,4,5,6
0,"(6, 'va', 'Tau')",,,,,,
1,"(3, 'sib', 'Tau')",,,,,,
2,"(0, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,,
3,"(5, 'va', 'Tau')",,,,,,
4,"(2, 'po', 'Tau')",,,,,,
5,"(2, 'po', 'sib')","(3, 'sib', 'Tau')",,,,,
6,"(3, 'va', 'va')","(4, 'va', 'va')","(2, 'va', 'po')","(3, 'po', 'va')","(1, 'va', 'va')","(1, 'va', 'va')","(0, 'va', 'va')"
7,"(3, 'sib', 'Tau')",,,,,,
8,"(4, 'pp', 'po')","(0, 'po', 'Tau')",,,,,
9,"(2, 'sib', 'sib')","(5, 'sib', 'Tau')",,,,,
10,"(1, 'sib', 'va')","(1, 'va', 'Tau')",,,,,
11,"(1, 'va', 'Tau')",,,,,,
12,"(4, 'po', 'Tau')",,,,,,
13,"(1, 'va', 'va')","(1, 'va', 'sib')","(3, 'sib', 'pp')","(5, 'pp', 'Tau')",,,
14,"(6, 'sib', 'pp')","(0, 'pp', 'Tau')",,,,,
15,"(4, 'po', 'va')","(0, 'va', 'pp')","(3, 'pp', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'Tau')",,
16,"(0, 'po', 'va')","(2, 'va', 'Tau')",,,,,
17,"(1, 'sib', 'Tau')",,,,,,
18,"(6, 'po', 'Tau')",,,,,,
19,"(5, 'po', 'po')","(5, 'po', 'Tau')",,,,,
20,"(1, 'pp', 'Tau')",,,,,,
21,"(0, 'po', 'Tau')",,,,,,
22,"(1, 'sib', 'sib')","(0, 'sib', 'Tau')",,,,,
23,"(2, 'va', 'Tau')",,,,,,
24,"(1, 'pp', 'Tau')",,,,,,
25,"(1, 'pp', 'Tau')",,,,,,
26,"(1, 'po', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(5, 'pp', 'pp')","(6, 'pp', 'pp')","(4, 'pp', 'Tau')",
27,"(4, 'pp', 'Tau')",,,,,,
28,"(4, 'pp', 'pp')","(1, 'pp', 'pp')","(2, 'pp', 'pp')","(0, 'pp', 'po')","(0, 'po', 'po')","(3, 'po', 'Tau')",
29,"(2, 'va', 'po')","(3, 'po', 'Tau')",,,,,
30,"(3, 'po', 'Tau')",,,,,,
31,"(4, 'sib', 'Tau')",,,,,,
32,"(0, 'sib', 'pp')","(3, 'pp', 'pp')","(0, 'pp', 'sib')","(4, 'sib', 'Tau')",,,
33,"(3, 'po', 'Tau')",,,,,,
34,"(4, 'sib', 'sib')","(5, 'sib', 'pp')","(4, 'pp', 'Tau')",,,,
35,"(2, 'va', 'pp')","(4, 'pp', 'pp')","(6, 'pp', 'Tau')",,,,
36,"(3, 'po', 'pp')","(5, 'pp', 'po')","(6, 'po', 'pp')","(6, 'pp', 'va')","(4, 'va', 'va')","(5, 'va', 'pp')","(2, 'pp', 'va')"
37,"(1, 'sib', 'Tau')",,,,,,
