,0,1,2,3,4,5,6
0,"(6, 'pp', 'po')","(3, 'po', 'po')","(0, 'po', 'va')","(2, 'va', 'sib')","(1, 'sib', 'Tau')",,
1,"(1, 'sib', 'va')","(6, 'va', 'Tau')",,,,,
2,"(1, 'sib', 'Tau')",,,,,,
3,"(4, 'va', 'va')","(1, 'va', 'pp')","(5, 'pp', 'pp')","(2, 'pp', 'Tau')",,,
4,"(1, 'sib', 'sib')","(6, 'sib', 'Tau')",,,,,
5,"(3, 'va', 'va')","(0, 'va', 'Tau')",,,,,
6,"(3, 'va', 'pp')","(2, 'pp', 'Tau')",,,,,
7,"(2, 'po', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
8,"(4, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
9,"(5, 'va', 'Tau')",,,,,,
10,"(6, 'po', 'pp')","(1, 'pp', 'Tau')",,,,,
11,"(5, 'sib', 'sib')","(0, 'sib', 'Tau')",,,,,
12,"(1, 'po', 'Tau')",,,,,,
13,"(1, 'pp', 'Tau')",,,,,,
14,"(0, 'va', 'Tau')",,,,,,
15,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
16,"(1, 'po', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
17,"(4, 'pp', 'Tau')",,,,,,
18,"(3, 'pp', 'va')","(0, 'va', 'va')","(4, 'va', 'va')","(6, 'va', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'Tau')",
19,"(5, 'po', 'Tau')",,,,,,
20,"(4, 'po', 'Tau')",,,,,,
21,"(0, 'pp', 'Tau')",,,,,,
22,"(4, 'po', 'va')","(5, 'va', 'va')","(0, 'va', 'Tau')",,,,
23,"(0, 'va', 'pp')","(0, 'pp', 'Tau')",,,,,
24,"(2, 'sib', 'sib')","(0, 'sib', 'va')","(4, 'va', 'Tau')",,,,
25,"(4, 'va', 'Tau')",,,,,,
26,"(3, 'sib', 'Tau')",,,,,,
27,"(5, 'po', 'Tau')",,,,,,
28,"(2, 'sib', 'Tau')",,,,,,
29,"(4, 'va', 'va')","(4, 'va', 'sib')","(3, 'sib', 'pp')","(0, 'pp', 'Tau')",,,
30,"(6, 'sib', 'po')","(0, 'po', 'Tau')",,,,,
31,"(3, 'sib', 'Tau')",,,,,,
32,"(0, 'po', 'Tau')",,,,,,
33,"(0, 'po', 'Tau')",,,,,,
34,"(0, 'po', 'pp')","(0, 'pp', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'va')","(3, 'va', 'pp')","(2, 'pp', 'Tau')",
35,"(2, 'pp', 'pp')","(3, 'pp', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'Tau')",,,
36,"(2, 'va', 'Tau')",,,,,,
37,"(2, 'va', 'Tau')",,,,,,
38,"(1, 'sib', 'Tau')",,,,,,
39,"(1, 'pp', 'Tau')",,,,,,
40,"(2, 'va', 'Tau')",,,,,,
41,"(1, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
42,"(2, 'pp', 'pp')","(0, 'pp', 'pp')","(4, 'pp', 'Tau')",,,,
43,"(2, 'va', 'Tau')",,,,,,
44,"(4, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
45,"(6, 'sib', 'sib')","(1, 'sib', 'Tau')",,,,,
46,"(4, 'po', 'Tau')",,,,,,
47,"(1, 'pp', 'sib')","(1, 'sib', 'Tau')",,,,,
48,"(4, 'po', 'Tau')",,,,,,
49,"(4, 'po', 'Tau')",,,,,,
50,"(5, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,,
51,"(1, 'sib', 'Tau')",,,,,,
52,"(4, 'po', 'Tau')",,,,,,
53,"(1, 'sib', 'Tau')",,,,,,
54,"(1, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
55,"(2, 'va', 'Tau')",,,,,,
56,"(1, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
57,"(2, 'va', 'va')","(2, 'va', 'pp')","(3, 'pp', 'sib')","(0, 'sib', 'va')","(2, 'va', 'po')","(4, 'po', 'va')","(5, 'va', 'Tau')"
58,"(2, 'va', 'Tau')",,,,,,
59,"(2, 'va', 'Tau')",,,,,,
60,"(5, 'po', 'Tau')",,,,,,
61,"(1, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
62,"(4, 'po', 'Tau')",,,,,,
63,"(2, 'sib', 'Tau')",,,,,,
64,"(2, 'va', 'Tau')",,,,,,
65,"(2, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
66,"(4, 'po', 'Tau')",,,,,,
67,"(2, 'sib', 'Tau')",,,,,,
68,"(6, 'va', 'Tau')",,,,,,
69,"(2, 'va', 'Tau')",,,,,,
70,"(2, 'sib', 'sib')","(2, 'sib', 'Tau')",,,,,
71,"(4, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
72,"(2, 'sib', 'sib')","(0, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,
73,"(2, 'va', 'Tau')",,,,,,
74,"(4, 'po', 'Tau')",,,,,,
75,"(2, 'sib', 'Tau')",,,,,,
76,"(6, 'sib', 'Tau')",,,,,,
77,"(2, 'va', 'Tau')",,,,,,
78,"(2, 'sib', 'Tau')",,,,,,
79,"(4, 'po', 'Tau')",,,,,,
80,"(2, 'sib', 'Tau')",,,,,,
81,"(2, 'va', 'Tau')",,,,,,
82,"(3, 'pp', 'Tau')",,,,,,
83,"(3, 'pp', 'Tau')",,,,,,
84,"(1, 'po', 'sib')","(2, 'sib', 'Tau')",,,,,
85,"(2, 'sib', 'Tau')",,,,,,
