,0,1,2,3,4,5,6
0,"(0, 'po', 'Tau')",,,,,,
1,"(4, 'va', 'Tau')",,,,,,
2,"(2, 'va', 'va')","(5, 'va', 'pp')","(0, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
3,"(1, 'po', 'Tau')",,,,,,
4,"(1, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
5,"(1, 'po', 'po')","(1, 'po', 'Tau')",,,,,
6,"(2, 'va', 'pp')","(1, 'pp', 'pp')","(6, 'pp', 'pp')","(4, 'pp', 'Tau')",,,
7,"(1, 'po', 'Tau')",,,,,,
8,"(5, 'sib', 'sib')","(4, 'sib', 'sib')","(3, 'sib', 'sib')","(6, 'sib', 'Tau')",,,
9,"(1, 'va', 'pp')","(4, 'pp', 'Tau')",,,,,
10,"(1, 'po', 'po')","(1, 'po', 'pp')","(4, 'pp', 'pp')","(2, 'pp', 'Tau')",,,
11,"(3, 'va', 'pp')","(2, 'pp', 'Tau')",,,,,
12,"(2, 'pp', 'pp')","(5, 'pp', 'Tau')",,,,,
13,"(1, 'po', 'Tau')",,,,,,
14,"(4, 'va', 'Tau')",,,,,,
15,"(3, 'pp', 'pp')","(5, 'pp', 'pp')","(2, 'pp', 'sib')","(0, 'sib', 'Tau')",,,
16,"(2, 'sib', 'pp')","(1, 'pp', 'Tau')",,,,,
17,"(0, 'sib', 'va')","(4, 'va', 'Tau')",,,,,
18,"(1, 'pp', 'Tau')",,,,,,
19,"(6, 'sib', 'Tau')",,,,,,
20,"(0, 'sib', 'pp')","(1, 'pp', 'va')","(0, 'va', 'va')","(6, 'va', 'Tau')",,,
21,"(4, 'va', 'Tau')",,,,,,
22,"(1, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
23,"(4, 'va', 'Tau')",,,,,,
24,"(6, 'sib', 'po')","(4, 'po', 'po')","(6, 'po', 'Tau')",,,,
25,"(4, 'va', 'pp')","(2, 'pp', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'pp')","(3, 'pp', 'Tau')",,
26,"(4, 'sib', 'Tau')",,,,,,
27,"(5, 'po', 'Tau')",,,,,,
28,"(3, 'pp', 'Tau')",,,,,,
29,"(2, 'po', 'Tau')",,,,,,
30,"(3, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
31,"(1, 'pp', 'pp')","(6, 'pp', 'pp')","(5, 'pp', 'pp')","(2, 'pp', 'Tau')",,,
32,"(2, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,,
33,"(6, 'va', 'pp')","(1, 'pp', 'pp')","(3, 'pp', 'va')","(0, 'va', 'va')","(0, 'va', 'Tau')",,
34,"(3, 'pp', 'pp')","(2, 'pp', 'pp')","(1, 'pp', 'Tau')",,,,
35,"(4, 'sib', 'Tau')",,,,,,
36,"(2, 'po', 'Tau')",,,,,,
37,"(0, 'va', 'va')","(0, 'va', 'Tau')",,,,,
38,"(0, 'va', 'va')","(0, 'va', 'Tau')",,,,,
39,"(2, 'po', 'Tau')",,,,,,
40,"(1, 'pp', 'Tau')",,,,,,
41,"(1, 'pp', 'Tau')",,,,,,
42,"(1, 'pp', 'pp')","(1, 'pp', 'va')","(6, 'va', 'Tau')",,,,
43,"(1, 'pp', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'pp')","(1, 'pp', 'pp')","(6, 'pp', 'Tau')",,
44,"(2, 'po', 'po')","(2, 'po', 'pp')","(6, 'pp', 'pp')","(5, 'pp', 'Tau')",,,
45,"(0, 'va', 'pp')","(5, 'pp', 'pp')","(2, 'pp', 'pp')","(3, 'pp', 'Tau')",,,
46,"(0, 'po', 'Tau')",,,,,,
47,"(4, 'sib', 'Tau')",,,,,,
48,"(1, 'va', 'Tau')",,,,,,
49,"(4, 'sib', 'Tau')",,,,,,
50,"(4, 'sib', 'Tau')",,,,,,
51,"(0, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'va')","(1, 'va', 'Tau')",,,
52,"(4, 'sib', 'pp')","(3, 'pp', 'Tau')",,,,,
53,"(0, 'po', 'Tau')",,,,,,
54,"(4, 'po', 'po')","(3, 'po', 'va')","(1, 'va', 'pp')","(3, 'pp', 'Tau')",,,
55,"(3, 'pp', 'Tau')",,,,,,
56,"(2, 'va', 'va')","(2, 'va', 'Tau')",,,,,
57,"(2, 'va', 'sib')","(3, 'sib', 'Tau')",,,,,
58,"(3, 'pp', 'pp')","(5, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,
59,"(3, 'va', 'va')","(4, 'va', 'Tau')",,,,,
60,"(3, 'pp', 'pp')","(4, 'pp', 'pp')","(0, 'pp', 'pp')","(6, 'pp', 'pp')","(1, 'pp', 'Tau')",,
61,"(1, 'pp', 'Tau')",,,,,,
62,"(0, 'po', 'Tau')",,,,,,
63,"(0, 'po', 'va')","(5, 'va', 'pp')","(1, 'pp', 'pp')","(1, 'pp', 'pp')","(2, 'pp', 'Tau')",,
64,"(2, 'pp', 'pp')","(3, 'pp', 'Tau')",,,,,
65,"(4, 'va', 'Tau')",,,,,,
66,"(3, 'pp', 'pp')","(2, 'pp', 'Tau')",,,,,
